                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5963,                 4.5628,                 4.1168,                  2e-05,                0.00089,                  1e-05,                      0,                 5.6668,                 4.2721,                 4.1328,                0.00042,                0.00042,                0.00042
                      2,                  4.404,                 3.6077,                 3.7246,                  3e-05,                0.00133,                  1e-05,                      0,                 5.5382,                 4.1214,                 4.0141,             0.00085915,             0.00085915,             0.00085915
                      3,                 3.2972,                 2.8282,                 2.9873,                  5e-05,                0.00221,                  2e-05,                      0,                 5.5148,                 3.9031,                 4.0055,              0.0012974,              0.0012974,              0.0012974
                      4,                 2.7631,                 2.3269,                 2.4784,                0.00011,                0.00487,                  5e-05,                  1e-05,                 5.1293,                 3.9327,                 3.7292,              0.0017348,              0.0017348,              0.0017348
                      5,                 2.4956,                 1.9937,                 2.1517,                0.29285,                0.16696,                0.12984,                0.03847,                 3.0825,                 2.4598,                 2.5301,              0.0019921,              0.0019921,              0.0019921
                      6,                 2.3702,                 1.8967,                 2.0156,                0.47553,                0.42427,                0.39805,                0.15859,                 2.2611,                 2.1957,                 1.9986,              0.0019901,              0.0019901,              0.0019901
                      7,                 2.3194,                 1.8544,                 1.9142,                0.40094,                0.49825,                0.41476,                0.17914,                 2.0928,                 7.2226,                 1.9092,              0.0019881,              0.0019881,              0.0019881
                      8,                 2.1211,                 1.6986,                 1.7758,                0.57667,                0.47177,                0.51081,                0.22729,                 1.9829,                 1.8455,                 1.7929,              0.0019861,              0.0019861,              0.0019861
                      9,                   2.07,                 1.6657,                 1.7405,                 0.5668,                0.48184,                0.51662,                0.23949,                 1.9254,                 1.6239,                 1.7347,              0.0019842,              0.0019842,              0.0019842
                     10,                 1.9846,                 1.6052,                 1.6787,                 0.6709,                0.50531,                0.56961,                0.27372,                 1.8695,                 1.4967,                 1.6985,              0.0019822,              0.0019822,              0.0019822
                     11,                 1.9502,                 1.5365,                  1.607,                0.61989,                0.46501,                0.51807,                0.24182,                 1.9823,                 1.7606,                 1.7298,              0.0019802,              0.0019802,              0.0019802
                     12,                 1.9427,                 1.5454,                 1.6182,                 0.7169,                0.53159,                 0.6135,                  0.314,                 1.7507,                 1.4074,                 1.6024,              0.0019782,              0.0019782,              0.0019782
                     13,                 1.9019,                 1.5214,                 1.5778,                0.60698,                0.52118,                0.56149,                0.28299,                 1.7758,                 1.4642,                 1.5995,              0.0019762,              0.0019762,              0.0019762
                     14,                 1.8494,                 1.4243,                 1.5177,                0.62985,                0.46346,                0.53248,                0.23669,                 1.9809,                 1.5522,                 1.6956,              0.0019743,              0.0019743,              0.0019743
