                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2355,                 4.9167,                 4.2738,                      0,                      0,                      0,                      0,                 3.5033,                 4.9527,                 4.1844,              0.0032593,              0.0032593,              0.0032593
                      2,                 2.8749,                 4.4163,                 3.7255,                      0,                      0,                      0,                      0,                 3.7104,                 5.0389,                 4.3642,              0.0065882,              0.0065882,              0.0065882
                      3,                 2.6983,                 3.6671,                 3.3222,                0.01265,                0.02476,                 0.0082,                0.00261,                 3.7113,                 3.6705,                 3.9157,              0.0099128,              0.0099128,              0.0099128
                      4,                  2.581,                 3.2492,                 3.0256,                0.39111,                0.06268,                0.03518,                0.00843,                 3.3361,                 6.5878,                 3.5359,              0.0099802,              0.0099802,              0.0099802
                      5,                 2.3996,                 2.9121,                 2.8137,                  0.029,                0.37123,                0.06318,                0.01805,                 2.9903,                 3.1477,                 3.2699,              0.0099736,              0.0099736,              0.0099736
                      6,                 2.1709,                 2.5372,                 2.5873,                0.29562,                0.40971,                0.32312,                0.17978,                 1.6262,                 2.7098,                 2.1357,               0.009967,               0.009967,               0.009967
                      7,                 1.9686,                 2.2755,                  2.424,                0.28648,                0.38426,                0.32919,                0.16005,                 1.7411,                 2.4552,                 2.2776,              0.0099604,              0.0099604,              0.0099604
                      8,                 1.8571,                 2.0681,                 2.3436,                0.40664,                0.52119,                0.43082,                0.27369,                 1.2575,                 2.3417,                 1.9254,              0.0099538,              0.0099538,              0.0099538
                      9,                 1.7289,                  1.885,                 2.2227,                0.51775,                0.63267,                0.61185,                0.35116,                 1.4816,                 1.7443,                 1.9936,              0.0099472,              0.0099472,              0.0099472
                     10,                 1.6267,                 1.7357,                 2.1292,                0.67778,                0.81307,                0.80578,                0.57663,                 1.0208,                  1.262,                 1.6072,              0.0099406,              0.0099406,              0.0099406
                     11,                 1.5496,                 1.6918,                 2.0693,                0.48062,                0.45462,                   0.46,                0.29381,                 1.2961,                 2.1599,                 1.8538,               0.009934,               0.009934,               0.009934
                     12,                 1.4989,                 1.5949,                 2.0107,                0.52922,                0.63865,                0.65304,                0.41649,                 1.3352,                 1.8747,                 1.8471,              0.0099274,              0.0099274,              0.0099274
                     13,                 1.4572,                 1.4908,                 1.9529,                0.81435,                0.83371,                0.90088,                 0.5093,                 1.4237,                 1.2313,                 1.9419,              0.0099208,              0.0099208,              0.0099208
                     14,                 1.4469,                 1.4486,                 1.9527,                0.75238,                0.81116,                0.89082,                0.60964,                 1.1397,                 1.2076,                 1.6544,              0.0099142,              0.0099142,              0.0099142
                     15,                 1.4021,                 1.4269,                  1.916,                0.87007,                0.85655,                0.95169,                0.70562,                0.92904,                0.97086,                 1.4943,              0.0099076,              0.0099076,              0.0099076
                     16,                  1.378,                 1.3866,                 1.9001,                0.88563,                0.87921,                0.92875,                0.67181,                0.98087,                0.86004,                 1.5139,               0.009901,               0.009901,               0.009901
                     17,                 1.3466,                 1.3178,                 1.8478,                0.77452,                0.82286,                0.86814,                0.68565,                0.83247,                 1.0444,                 1.3824,              0.0098944,              0.0098944,              0.0098944
                     18,                 1.3496,                  1.229,                 1.8422,                0.88085,                0.90486,                0.93367,                0.69697,                0.91527,                0.89748,                  1.481,              0.0098878,              0.0098878,              0.0098878
                     19,                 1.2855,                 1.1999,                 1.7836,                0.84175,                0.87808,                0.94889,                0.69447,                0.99817,                 1.0021,                 1.5212,              0.0098812,              0.0098812,              0.0098812
                     20,                 1.2947,                 1.2105,                 1.8371,                0.94099,                0.94748,                0.97518,                0.77015,                0.80349,                0.67181,                 1.3409,              0.0098746,              0.0098746,              0.0098746
                     21,                 1.2908,                 1.2127,                 1.8318,                0.93623,                0.93132,                0.97692,                0.77071,                0.81119,                0.76575,                  1.344,               0.009868,               0.009868,               0.009868
                     22,                 1.2613,                 1.1709,                 1.7802,                0.90059,                0.90547,                0.95015,                0.72338,                0.90046,                0.90439,                 1.4369,              0.0098614,              0.0098614,              0.0098614
                     23,                 1.2536,                 1.1551,                 1.7837,                0.89192,                0.89293,                0.94946,                0.55156,                 1.3526,                0.89335,                 1.8447,              0.0098548,              0.0098548,              0.0098548
                     24,                 1.2069,                 1.0649,                 1.7069,                0.97045,                0.97305,                0.98465,                0.79739,                0.75082,                0.56883,                 1.2812,              0.0098482,              0.0098482,              0.0098482
                     25,                 1.2281,                 1.0756,                 1.7314,                0.96475,                0.95615,                0.98375,                0.73512,                0.94395,                0.66788,                 1.4624,              0.0098416,              0.0098416,              0.0098416
                     26,                  1.211,                 1.0811,                 1.7371,                0.95655,                0.97104,                0.98299,                  0.792,                0.76102,                0.63068,                 1.3076,               0.009835,               0.009835,               0.009835
                     27,                 1.1649,                 1.0487,                 1.6812,                0.90483,                0.94563,                0.96838,                0.75238,                0.85095,                0.70218,                 1.3692,              0.0098284,              0.0098284,              0.0098284
                     28,                 1.1801,                 1.0008,                 1.6925,                0.92431,                0.96022,                0.97608,                0.77789,                0.80252,                0.61921,                 1.3319,              0.0098218,              0.0098218,              0.0098218
                     29,                 1.1897,                 1.0421,                 1.6995,                0.87066,                0.87245,                0.94504,                0.69709,                0.94459,                 0.8039,                 1.4702,              0.0098152,              0.0098152,              0.0098152
                     30,                 1.2131,                 1.0562,                 1.7196,                0.91646,                0.94947,                0.98114,                0.79741,                0.76433,                0.61804,                 1.3153,              0.0098086,              0.0098086,              0.0098086
