                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.1775,                 30.976,                 4.2537,                      0,                      0,                      0,                      0,                 6.3485,                 16.148,                 4.0748,                0.00048,                0.00048,                0.00048
                      2,                 5.1693,                 15.266,                 3.7188,                      0,                      0,                      0,                      0,                 6.2259,                 6.7652,                 4.0075,             0.00097757,             0.00097757,             0.00097757
                      3,                 4.1879,                 8.4881,                  2.823,                      0,                      0,                      0,                      0,                 6.2439,                 7.0192,                 3.7815,              0.0014727,              0.0014727,              0.0014727
                      4,                 3.2873,                 5.2962,                 2.1587,                  5e-05,                0.00627,                  2e-05,                  1e-05,                 6.0113,                 4.7315,                 3.7236,              0.0019653,              0.0019653,              0.0019653
                      5,                 3.0854,                 4.6334,                 1.8834,                0.00091,                 0.1442,                0.00911,                0.00242,                 3.5351,                 4.6428,                  2.497,              0.0019802,              0.0019802,              0.0019802
                      6,                 2.8502,                 3.9223,                 1.7022,                0.26156,                0.09091,                0.06629,                 0.0259,                 2.7078,                 3.4671,                 1.7689,              0.0019753,              0.0019753,              0.0019753
                      7,                  2.629,                 3.4308,                 1.6257,                0.39253,                0.14734,                0.13789,                0.05581,                 2.5989,                 3.1464,                 1.6747,              0.0019703,              0.0019703,              0.0019703
                      8,                 2.4736,                 3.1132,                 1.4773,                0.46229,                0.17555,                0.19722,                0.09015,                 2.3999,                   2.98,                 1.5314,              0.0019654,              0.0019654,              0.0019654
                      9,                 2.4035,                 3.0012,                 1.4241,                0.57956,                0.22884,                0.27443,                0.12577,                 2.2611,                 2.7198,                 1.4703,              0.0019604,              0.0019604,              0.0019604
                     10,                 2.3062,                 2.7752,                 1.3842,                0.56143,                0.29154,                0.31743,                0.15328,                 2.1581,                 2.3247,                 1.3886,              0.0019555,              0.0019555,              0.0019555
                     11,                 2.3314,                 2.6273,                 1.3593,                0.57097,                0.32915,                0.36781,                0.18338,                 2.1057,                 2.2521,                 1.3643,              0.0019505,              0.0019505,              0.0019505
                     12,                 2.1911,                 2.4699,                 1.3436,                0.57587,                0.38245,                0.41126,                0.21061,                 1.9907,                 2.1387,                 1.3152,              0.0019456,              0.0019456,              0.0019456
                     13,                   2.06,                 2.1242,                 1.2391,                0.72347,                0.38245,                0.46595,                0.23556,                 1.9254,                 1.9437,                 1.2889,              0.0019406,              0.0019406,              0.0019406
                     14,                 1.9973,                 2.0547,                 1.2388,                 0.6065,                0.42006,                0.44071,                 0.2328,                 1.9244,                 1.9206,                 1.2661,              0.0019357,              0.0019357,              0.0019357
                     15,                  1.901,                 1.9874,                 1.2217,                0.67286,                0.43574,                0.49206,                0.23992,                 1.9358,                 1.8391,                 1.2711,              0.0019307,              0.0019307,              0.0019307
                     16,                 1.8578,                 1.7821,                 1.1883,                0.74121,                0.42006,                0.51428,                0.25783,                 1.8625,                  1.652,                 1.2426,              0.0019258,              0.0019258,              0.0019258
                     17,                 1.8606,                 1.6876,                 1.1707,                0.74526,                0.44021,                0.52809,                0.27479,                 1.7755,                 1.5733,                 1.2125,              0.0019208,              0.0019208,              0.0019208
                     18,                 1.8353,                  1.677,                 1.1736,                0.76587,                0.48903,                0.57242,                0.30208,                 1.7043,                 1.4805,                  1.195,              0.0019159,              0.0019159,              0.0019159
                     19,                 1.8094,                 1.5946,                 1.1785,                0.75465,                0.50784,                0.59165,                0.31104,                 1.7509,                 1.4392,                 1.1861,              0.0019109,              0.0019109,              0.0019109
                     20,                 1.7559,                 1.5206,                 1.1425,                0.77735,                0.52535,                0.61405,                0.34269,                 1.7393,                 1.3536,                 1.1775,               0.001906,               0.001906,               0.001906
                     21,                 1.7231,                 1.5041,                 1.1227,                0.74424,                0.57994,                0.61563,                0.33604,                   1.78,                 1.4206,                 1.1973,               0.001901,               0.001901,               0.001901
                     22,                 1.6973,                 1.4023,                 1.1352,                0.76426,                0.53863,                0.60919,                0.33298,                 1.6697,                 1.3601,                 1.1688,              0.0018961,              0.0018961,              0.0018961
