                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5963,                 4.5628,                 4.1168,                      0,                      0,                      0,                      0,                 5.2054,                 4.1572,                 4.1344,                0.00042,                0.00042,                0.00042
                      2,                 4.4033,                 3.6026,                 3.7246,                      0,                      0,                      0,                      0,                 5.0625,                 4.0296,                 4.0282,             0.00085716,             0.00085716,             0.00085716
                      3,                 3.3002,                 2.8353,                 2.9998,                      0,                      0,                      0,                      0,                 5.0263,                 3.8201,                 3.9914,              0.0012914,              0.0012914,              0.0012914
                      4,                 2.7674,                 2.3394,                 2.4947,                 0.0001,                  0.005,                  5e-05,                  1e-05,                   4.37,                 3.8297,                  3.612,              0.0017228,              0.0017228,              0.0017228
                      5,                 2.4877,                 1.9936,                 2.1538,                0.45434,                0.13833,                0.17415,                0.06022,                 2.8647,                 2.5304,                 2.6777,              0.0019736,              0.0019736,              0.0019736
                      6,                 2.3622,                  1.846,                 1.9937,                0.45974,                0.33755,                 0.3323,                0.13246,                 2.4058,                 2.1025,                 2.3283,               0.001967,               0.001967,               0.001967
                      7,                 2.2354,                 1.7322,                 1.8595,                0.46752,                  0.345,                0.34188,                0.12785,                 2.3586,                 1.9822,                  2.302,              0.0019604,              0.0019604,              0.0019604
                      8,                 2.1069,                 1.6432,                 1.7596,                 0.4977,                0.47667,                0.47663,                0.22001,                 1.9996,                 1.8398,                 2.0179,              0.0019538,              0.0019538,              0.0019538
                      9,                 2.0217,                 1.6125,                 1.7106,                0.56313,                0.44667,                0.44383,                0.20248,                 2.0734,                 1.6187,                 2.0127,              0.0019472,              0.0019472,              0.0019472
                     10,                 1.9734,                 1.5783,                 1.6564,                0.66873,                0.46766,                0.55133,                0.26563,                  1.841,                 1.8123,                 1.8085,              0.0019406,              0.0019406,              0.0019406
                     11,                 1.8907,                 1.5144,                 1.5711,                0.57259,                0.44833,                0.46576,                0.21862,                 1.9623,                 1.6818,                 1.8658,               0.001934,               0.001934,               0.001934
                     12,                 1.9047,                 1.4916,                 1.5882,                0.66969,                  0.515,                0.58267,                0.29252,                 1.8057,                 1.4703,                 1.7591,              0.0019274,              0.0019274,              0.0019274
                     13,                 1.9248,                 1.5161,                 1.5782,                0.57566,                0.49743,                0.53239,                0.26666,                 1.8265,                 1.5762,                  1.803,              0.0019208,              0.0019208,              0.0019208
                     14,                 1.8598,                 1.4451,                 1.5162,                0.68059,                0.50167,                0.55796,                0.25356,                 1.8502,                 1.5185,                 1.7724,              0.0019142,              0.0019142,              0.0019142
